[19:53:47.000][I][app:206]: ESPHome version 2026.1.4 compiled on 2026-03-21 19:45:27 +0100
[19:53:47.041][I][app:213]: ESP32 Chip: ESP32 r3.1, 2 core(s)
[19:53:47.041][W][app:222]: Set minimum_chip_revision: "3.1" to reduce binary size
[19:53:47.350][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:47.567][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:48.551][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:48.607][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:48.607][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:53:49.373][I][mspa:075]: [SPA->CLAV] A5 1A 08 C7 [Flags 0x08]
[19:53:49.568][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:50.451][I][mspa:075]: [SPA->CLAV] A5 1A 08 C7 [Flags 0x08]
[19:53:50.641][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:51.448][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:51.719][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:51.789][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:53:51.904][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:53:52.412][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:52.682][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:53.251][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:53:53.500][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:53.676][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:54.514][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:54.615][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:53:54.615][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:53:55.433][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:53:55.655][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
