Time	Level	Tag	Message
17:38:28	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> OFF (Filter: ENV)
17:38:49	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> ON (Filter: ENV)
17:38:55	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> OFF (Filter: ENV)
17:38:56	[I]	[mspa_uart:456][1;31m[mspa_bridge_tas][0;32m	Sync: Water Temp -> 40.0
17:39:01	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> ON (Filter: ENV)
17:39:03	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> OFF (Filter: ENV)
17:39:07	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> ON (Filter: ENV)
17:39:17	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> OFF (Filter: ENV)
17:39:19	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> ON (Filter: ENV)
17:39:21	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> OFF (Filter: ENV)
17:39:23	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> OFF (Filter: ENV)
17:39:23	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> ON (Filter: ENV)
17:39:32	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> OFF (Filter: ENV)
17:39:36	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> ON (Filter: ENV)
17:39:38	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> ON (Filter: ENV)
17:39:40	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> OFF (Filter: ENV)
17:39:44	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> ON (Filter: ENV)
17:39:44	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> OFF (Filter: ENV)
17:39:50	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> ON (Filter: ENV)
17:39:52	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> OFF (Filter: ENV)
17:39:54	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> ON (Filter: ENV)
17:39:56	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> OFF (Filter: ENV)
17:40:02	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Chauffage (ETAT) -> ON (Filter: ENV)
17:40:04	[I]	[mspa_uart:527][1;31m[mspa_bridge_tas][0;32m	UI: Filtration (ETAT) -> OFF (Filter: ENV)
